GO	[-6.06 -0.65]	[-0.65 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.34]	[0.34 1.03]	[1.03 4.64]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	2.846	1.382	-0.374	-0.374	-1.099	-1.837	-1.099	-1.837	1.382	-0.374	0.692
GNF2_APEX1 GNF2_APEX1	7.386	-0.872	0.285	-0.872	-0.872	-0.538	-0.872	-0.317	-0.317	0.285	-0.314
GO_REGULATION_OF_RNA_STABILITY GO_REGULATION_OF_RNA_STABILITY	2.444	1.984	0.397	-0.627	-0.384	-0.986	0.614	-2.344	-1.516	-0.384	0.401
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN	3.962	-1.133	-0.394	0.409	0.409	0.964	0.225	-1.133	-1.880	-0.681	0.227
GO_SPLICEOSOMAL_COMPLEX GO_SPLICEOSOMAL_COMPLEX	2.271	2.271	-0.869	-0.869	-2.768	0.405	0.248	-0.571	-0.361	-0.571	0.613
REACTOME_MRNA_PROCESSING REACTOME_MRNA_PROCESSING	2.867	1.276	-0.674	-0.674	-0.674	-2.981	-0.276	-0.674	0.976	-0.276	0.331
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	2.330	1.523	-0.844	-0.551	-0.551	-2.726	-0.346	-0.844	1.181	-0.346	0.427
GNF2_DAP3 GNF2_DAP3	4.597	0.459	0.459	-0.512	-1.194	0.286	-0.794	-0.512	-1.768	-0.512	0.686
GNF2_DEK GNF2_DEK	3.869	-0.552	-0.301	-0.964	-1.669	0.301	0.301	-0.964	0.301	0.823	-0.298
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	2.048	0.235	-0.379	-0.873	0.932	-0.873	-0.873	0.235	1.442	-0.379	-0.869
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_DN GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_DN	2.587	0.323	-1.166	-1.166	-0.582	0.982	-0.280	0.323	0.608	-1.166	-0.278
MORF_PPP1CA MORF_PPP1CA	4.486	-0.419	-1.587	-0.248	-0.248	-0.248	-0.419	-1.045	0.565	0.565	-1.038
