GO	[-10.12 -1.00]	[-1.00 -0.50]	[-0.50 -0.14]	[-0.14 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.19]	[0.19 0.61]	[0.61 1.74]	[1.74 23.61]
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	0.558	12.193	18.409	0.442	-8.302	-8.302	-8.302	-1.127	1.191	-3.226	-8.292
HALLMARK_OXIDATIVE_PHOSPHORYLATION HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.692	23.363	10.010	-0.457	-6.977	-8.302	-8.302	-1.369	1.008	-3.226	-6.968
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	1.454	24.313	5.760	-2.197	-6.149	-7.428	-7.428	0.440	-0.270	-1.504	-7.419
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-3.553	-0.805	3.843	-1.028	-6.430	-6.430	-6.430	-0.348	20.360	5.959	-6.422
GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP	0.341	7.542	15.797	-1.369	-8.302	-6.977	-8.302	0.442	3.891	-1.649	-6.968
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN	-2.310	9.572	10.624	-0.573	-8.260	-8.260	-8.260	-0.573	6.702	0.263	-5.066
GSE29618_MONOCYTE_VS_PDC_UP GSE29618_MONOCYTE_VS_PDC_UP	-2.751	-0.264	-0.351	-2.751	-8.302	-8.302	-8.302	0.558	6.639	21.181	0.561
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP	-4.357	-0.447	3.595	-0.447	-8.260	-8.260	-8.260	2.115	14.050	5.436	-3.730
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	-1.969	0.841	13.947	-0.585	-8.302	-8.302	-8.302	0.841	7.542	1.838	-5.946
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	1.211	12.287	9.572	-0.902	-6.938	-6.938	-8.260	-0.573	3.595	-2.724	-5.909
MORF_RAB1A MORF_RAB1A	-2.966	4.683	13.067	0.425	-7.927	-7.927	-7.927	1.386	3.268	0.425	-6.613
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN	-3.226	3.891	11.631	-0.737	-6.977	-6.977	-8.302	3.230	5.382	-0.264	-6.968
GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP	-1.969	8.011	15.170	0.341	-6.977	-5.955	-8.302	-0.457	3.891	-0.917	-5.946
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	-1.331	8.154	9.652	-0.710	-8.219	-8.219	-8.219	0.359	4.709	0.720	-5.871
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP	-1.649	10.010	9.493	-0.351	-8.302	-6.977	-8.302	-0.351	2.085	1.838	-6.968
GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_DN GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_DN	-6.898	0.359	3.980	-0.561	-6.898	-8.219	-6.898	2.697	10.175	6.328	-3.698
GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_DN GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_DN	-3.081	2.804	10.972	-0.671	-8.094	-8.094	-8.094	1.507	3.431	3.431	-5.759
GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	-5.109	-1.369	7.084	-1.969	-8.302	-6.977	-6.977	0.841	13.352	4.609	-0.349
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP	-0.573	5.845	12.287	0.263	-8.260	-8.260	-8.260	0.706	3.595	-0.573	-5.909
GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP	-1.946	0.350	14.050	0.263	-6.938	-6.938	-8.260	0.263	10.624	1.026	-5.066
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP	-1.238	1.555	7.091	-0.293	-8.011	-6.701	-8.011	2.581	10.601	-0.293	-8.001
GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	1.026	12.864	9.572	0.263	-8.260	-6.938	-8.260	-0.573	1.026	-1.109	-5.066
GCM_MYST2 GCM_MYST2	-1.642	1.663	11.512	0.835	-7.095	-7.095	-7.095	0.835	8.203	-0.859	-7.087
GSE36009_UNSTIM_VS_LPS_STIM_DC_DN GSE36009_UNSTIM_VS_LPS_STIM_DC_DN	-2.724	3.269	6.267	-0.573	-6.938	-8.260	-8.260	0.706	11.722	1.211	-5.066
GSE14000_UNSTIM_VS_4H_LPS_DC_UP GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.396	9.980	9.457	-0.301	-8.052	-8.052	-8.052	0.780	1.761	-1.025	-5.722
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-2.643	1.483	9.297	2.206	-8.135	-8.135	-6.819	0.285	8.792	0.484	-5.796
GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_UP GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_UP	-2.285	5.903	7.679	-0.334	-8.219	-8.219	-8.219	1.045	5.093	1.045	-5.030
GSE40493_BCL6_KO_VS_WT_TREG_UP GSE40493_BCL6_KO_VS_WT_TREG_UP	-6.032	1.104	6.393	0.474	-7.303	-7.303	-7.303	1.308	11.606	0.918	-3.027
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	-1.350	5.041	10.092	-1.350	-8.260	-8.260	-8.260	2.381	5.041	-0.573	-2.718
GSE39864_WT_VS_GATA3_KO_TREG_DN GSE39864_WT_VS_GATA3_KO_TREG_DN	-0.585	5.382	13.947	-0.585	-8.302	-8.302	-8.302	-0.737	1.390	2.085	-3.219
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP	0.285	5.604	15.611	-1.294	-6.819	-6.819	-8.135	0.377	3.071	-0.684	-4.960
GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN	-3.023	7.091	11.150	0.309	-5.693	-6.701	-8.011	-0.812	5.776	0.405	-4.855
GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	-0.457	6.639	11.631	-1.127	-8.302	-6.977	-8.302	-0.351	2.627	1.390	-5.101
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	-3.675	1.253	8.226	-0.550	-8.177	-8.177	-8.177	3.033	5.547	2.446	-3.132
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP	-0.751	1.811	8.911	0.333	-8.344	-8.344	-8.344	1.581	2.593	3.512	-7.007
GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP	-2.724	2.115	8.567	-0.447	-8.260	-8.260	-8.260	2.115	8.567	0.263	-2.304
GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN	-0.573	5.845	11.167	-0.724	-6.938	-8.260	-8.260	1.211	4.290	-0.902	-4.349
GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN	-0.713	2.534	5.767	0.277	-7.719	-7.719	-7.719	1.986	9.588	-0.431	-6.416
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	-1.923	1.436	6.766	0.359	-8.219	-6.898	-8.219	1.436	4.337	5.093	-6.889
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_180MIN_UP GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_180MIN_UP	-1.628	3.269	6.267	-1.350	-8.260	-8.260	-8.260	0.452	9.572	1.865	-2.304
GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN	-4.357	2.662	7.150	0.263	-8.260	-6.938	-8.260	0.263	5.845	4.658	-2.718
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	-0.902	3.936	11.722	0.452	-8.260	-6.938	-8.260	0.263	5.436	-0.342	-4.349
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	-0.561	10.710	9.652	-0.886	-6.898	-6.898	-8.219	2.413	1.045	-1.607	-3.161
GSE14350_TREG_VS_TEFF_UP GSE14350_TREG_VS_TEFF_UP	-5.074	1.211	6.702	0.263	-6.938	-8.260	-8.260	1.413	7.150	3.269	-2.304
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN	0.473	4.759	13.654	-2.260	-5.843	-8.177	-8.177	0.473	3.033	0.278	-3.667
GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_RESTING_CD4_TCELL_DN GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_RESTING_CD4_TCELL_DN	0.341	7.542	10.010	-0.351	-8.302	-6.977	-8.302	0.841	1.838	-0.457	-5.101
GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN	0.368	10.259	8.226	-1.312	-8.177	-6.859	-6.859	0.891	2.446	-0.550	-4.995
GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_UP GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_UP	-1.331	3.638	10.710	0.583	-8.219	-8.219	-8.219	0.874	4.337	-0.334	-3.161
GSE27786_NKCELL_VS_ERYTHROBLAST_UP GSE27786_NKCELL_VS_ERYTHROBLAST_UP	-1.109	4.290	6.267	-0.342	-8.260	-6.938	-8.260	0.452	4.658	3.269	-5.909
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MACROPHAGE_DN GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MACROPHAGE_DN	-0.457	7.542	13.352	-0.737	-8.302	-8.302	-5.109	-0.737	1.390	0.841	-3.761
GSE3920_UNTREATED_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN GSE3920_UNTREATED_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	0.293	8.711	5.464	1.792	-7.636	-7.636	-7.636	-1.324	2.908	0.389	-5.350
GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_UP GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_UP	-3.226	2.085	4.988	-0.917	-8.302	-8.302	-8.302	0.442	5.382	6.639	-0.913
GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP	0.359	9.141	5.492	-0.710	-6.898	-8.219	-8.219	1.656	2.413	0.359	-5.871
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_DN GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_DN	-3.168	0.359	5.093	0.359	-8.219	-8.219	-8.219	3.309	8.154	2.145	-1.918
GSE17186_MEMORY_VS_CD21LOW_TRANSITIONAL_BCELL_UP GSE17186_MEMORY_VS_CD21LOW_TRANSITIONAL_BCELL_UP	-2.335	7.084	8.011	-1.649	-5.955	-8.302	-8.302	-1.127	5.382	1.606	-0.734
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP	-2.751	0.558	5.382	-0.737	-5.955	-5.955	-8.302	5.382	7.084	2.627	-5.946
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN	-0.684	4.434	11.436	-0.317	-8.135	-8.135	-8.135	2.206	1.949	-0.538	-3.103
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP	-1.092	5.093	9.141	-0.437	-8.219	-6.898	-6.898	-0.334	5.903	0.874	-5.030
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-4.390	1.606	11.079	0.341	-6.977	-6.977	-6.977	0.692	5.382	2.349	-3.761
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-3.587	-4.330	-5.250	3.071	5.003	6.844	6.360	0.463	-6.472	-5.250	-3.580
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_UP GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_UP	-2.335	3.553	9.493	-0.264	-8.302	-8.302	-6.977	0.442	6.639	0.558	-2.329
GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP	-1.649	1.191	12.193	-0.457	-8.302	-5.955	-8.302	1.390	6.207	0.558	-3.219
GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_DN GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_DN	-0.917	1.191	8.987	-0.737	-8.302	-8.302	-6.977	1.191	3.891	4.243	-4.382
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP	-2.751	4.243	5.788	-2.335	-5.955	-6.977	-6.977	1.191	8.987	1.838	-3.761
GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP	-2.235	3.390	12.574	-0.684	-8.135	-8.135	-6.819	1.949	2.206	0.750	-2.229
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-1.967	2.870	10.760	0.285	-5.395	-7.678	-7.678	1.530	1.530	2.569	-6.377
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	-2.210	2.237	5.661	0.293	-8.094	-8.094	-8.094	-0.309	6.080	4.483	-2.204
