GO	[-19.75 -4.16]	[-4.16 -3.21]	[-3.21 -2.55]	[-2.55 -2.04]	[-2.04 -1.48]	[-1.48 -0.62]	[-0.62 1.09]	[1.09 1.93]	[1.93 2.78]	[2.78 4.09]	[4.09 6.64]
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	3.554	1.333	-0.301	-2.468	2.158	-1.990	-3.744	-1.591	0.415	-0.301	0.893
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	-0.669	-2.039	-0.438	-0.276	-0.988	0.969	5.523	1.264	-0.276	-0.669	-2.043
GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP	-0.661	0.595	-0.921	1.911	-0.921	-0.312	1.911	2.646	-0.312	-2.967	-2.242
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP	1.283	3.220	-1.679	0.539	-3.285	-0.578	-0.383	0.367	-1.679	0.750	0.366
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	1.467	1.032	-1.766	-0.301	-2.615	-0.910	-2.157	-0.710	1.240	1.032	2.262
GSE40655_FOXO1_KO_VS_WT_NTREG_DN GSE40655_FOXO1_KO_VS_WT_NTREG_DN	-0.835	-1.154	0.489	0.674	-1.568	0.489	1.426	3.752	-2.104	-1.568	0.487
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	1.999	0.465	-1.493	0.340	-2.347	-1.172	-0.689	3.765	-0.513	0.981	-0.909
GSE3982_DC_VS_NEUTROPHIL_DN GSE3982_DC_VS_NEUTROPHIL_DN	1.679	-0.705	-0.385	1.679	-1.518	-1.908	-0.925	0.598	-1.908	1.679	0.956
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN	0.459	1.758	0.459	-0.273	-0.729	-0.729	-5.213	-0.273	0.791	0.995	-0.274
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	-0.582	1.468	-0.436	2.292	-0.761	-0.761	-4.218	-0.761	0.662	0.831	0.659
