gene_name	Estimate_treatmentDRUG
ARF5	-0.30937381135719
M6PR	0.329650648633987
ESRRA	-0.36779221165875003
FKBP4	0.356873418480736
NDUFAF7	-0.4695485383652899
FUCA2	-0.279067331034467
CYP51A1	0.193693775022583
USP28	0.28634666577182205
SLC7A2	0.238456326026129
RALA	0.05079239857889
DVL2	-0.052450945004976
RPAP3	0.022313496557932
IFRD1	0.10192351683116099
RPUSD1	0.549736771959896
TSR3	0.023235231475777003
NDUFAB1	0.41418533868478
CRY1	0.26179970862817104
STARD3NL	0.34051503700727903
MGST1	0.196374553778168
SYPL1	0.194629034048974
RANBP9	0.29921890170878196
CD4	0.28369254293701296
SS18L2	-0.504599487845366
QPCTL	0.6627238483389971
PPP5C	0.168610088184499
NME1	0.036837188364501
ERCC1	0.11394049321087599
HEBP1	-0.19428573835206098
COX15	-0.080513698231409
XYLT2	0.265559246723612
RALBP1	0.086726592931746
RTF2	0.07718223760968901
RB1CC1	0.37190993155275703
AKAP11	0.25860544701425797
PIGQ	0.08265491493853301
FAM13B	0.40466895655530793
CHPF2	0.052315689284152
GABARAPL2	0.29066159316547996
TTC17	0.21680643675606895
MRI1	-0.545679706316575
BOD1L1	-0.065828368086954
TARBP1	0.35155354721163196
PSMA4	-0.028069739131807006
LCP2	0.17908768768848798
MRPS10	-0.056009918175185996
GRN	-0.17382624750863002
RFC2	-0.122638427606297
RELT	-0.5913747418445849
INPP4A	0.179731927406952
SLC2A3	0.277688568527423
PIGV	0.72477798738545
MRPS35	0.434315898867992
APPBP2	-0.6431903908273879
ISOC2	0.20613266391489302
OTUD5	0.284468317648177
GPKOW	-0.481510350095609
AQR	0.094344451928713
ACAP1	0.17134421303331
ICAM3	0.32914617280231395
KIF22	0.21819611566674801
YTHDC2	-0.10382169890901198
TMEM161A	-0.076339295818736
TNFRSF1A	0.274308399924595
GOLGA5	0.057829432842747996
TRIP13	-0.029082176200661
HSD17B10	-0.10151756255520301
ST6GAL1	-0.153347455846228
TIMM21	0.15781941392458498
REXO1	0.35410970630975297
MKRN2	0.454384503682077
GPATCH1	-0.060882474822063
KEAP1	0.27799078302350705
MNT	0.414661099769126
AP3M2	-0.056701845744960996
LAPTM4A	-0.8397597373859329
ASNS	-0.130093532996937
PTPN18	-0.258045181715779
STK10	0.28558121552184196
ALPK1	0.10965358408436099
MRPS34	0.370626745179031
MAP2K5	-0.44087956428707303
FAM107B	0.030372402729176004
CDK13	0.08476912719273401
TSPAN32	0.292913343874925
FAR2	-0.500165405668839
NDUFB4	-0.332630056888018
HEATR6	-0.30847692196996396
ERLEC1	0.13669434138914502
TMEM131	0.063920726472529
ACTR6	-0.003118129141297
UHRF1BP1	0.04506036983044901
OSTM1	0.432339836495241
DELE1	-0.3950131191330879
PLOD1	0.16925904309137
OXCT1	0.309193812138552
FAM234B	0.48452708983297105
PILRA	0.981501319886334
DIMT1	-0.201305397179668
EIF2AK1	-0.11553035333577802
MRPL28	0.22430431831572
CEACAM6	-0.38485576649153
RBM22	0.05008966517924599
ZW10	-0.22239877510582504
TRIP6	0.052320007650982
PDRG1	1.1328087529822901
RALGAPA2	0.299137254443471
RPL6	-0.195984279223085
ESF1	0.36946084154704706
SLC8B1	-0.016055514187206
TRMT6	-0.41718763386832297
HAUS5	0.07560961330762798
UQCRC1	0.20004844717629802
GMIP	-0.019573691964257
MLF2	-0.215130315045915
TFAP4	-0.1383727128987
PDCD7	0.21672497453304398
SPG21	0.6802866009527611
GNPTG	0.667645383692177
GOLGA3	0.18459603495788002
GLG1	0.12446822535353301
AASDH	-1.07538888489297
DLD	0.10722745545890501
SPAG7	-0.995541742805098
TMEM101	-0.296944482961721
HAUS4	-0.377092502671305
CEBPE	-0.38152577726843
OSGEP	-0.10503521325633601
CDC6	-0.303158346984373
AAAS	-0.08831279594178901
CBX5	0.13943009385353
KLHL20	-0.11660968767724901
PSMD5	-0.074495702487899
NANS	-0.12208009251656401
ZNF184	0.485267465793505
VCL	0.16233275475480402
SIRT1	-0.000308870295805
TMED1	0.063864980150837
PSMD8	0.157627563851362
ATP5F1D	0.038156131696559
NDUFB7	-0.125322384343566
TECR	-0.017776983517615003
CDC34	0.8639292727538559
MAPK12	0.164987659531816
SNAP29	-0.177881523683897
LZTR1	0.15075583044765697
THAP7	0.4206694874550229
SF3A1	0.028340123422967003
MAPK1	-0.32348789710412296
SLC25A1	-0.05744950269832401
PDXP	-0.356527898085381
LGALS1	-0.255157950326723
SRRD	0.161932375870234
CENPM	0.048442501361948
TOMM22	-0.129996437852241
RTCB	0.12890240045103699
GTPBP1	-0.256034783379785
RHBDD3	0.13725070113790303
HMGXB4	0.505594880175067
BIK	-0.340527914295737
NIPSNAP1	0.270513520292328
MCM5	0.073960821169646
ARSA	-0.012352591013771003
TTLL12	0.06448713854612001
RPL3	-0.23451603181367497
TAB1	0.364740906792275
MYH9	0.16224596184737303
TXN2	0.495781739258271
FOXRED2	0.500318002123142
EIF3D	-0.077716741323353
FAM118A	0.7098091411385308
ST13	0.094681292209511
RBX1	0.379471885441681
L3MBTL2	0.020045613860063
PHF5A	0.210113779246517
PMM1	-0.565510382281875
CERK	0.065663651330334
ZBED4	-0.000779508599657
HDAC10	-0.010661234914618
PAPOLA	0.4305897505274361
SUPT16H	0.13486212529305303
FKBP3	0.37262755940740205
CTSG	0.017470999336371997
COCH	-0.21384660522755203
POLE2	0.36629498232495894
SOS2	-0.24772747214563
PYGL	0.17078837607524697
GNPNAT1	0.57393968583439
PSMA3	0.131531909531267
TMED8	-0.195352638335936
AHSA1	0.38193844053157106
SPTLC2	0.24743640455481897
RIN3	-0.05575569175850199
ALKBH1	0.112638551719169
EIF5	0.13187961692333
VRK1	0.069685364469435
APEX1	0.186106918917251
PABPN1	-0.119373642102204
SRP54	0.119286325705166
PCK2	1.2099272495242501
NFKBIA	-0.302092037528439
EMC9	0.17267803647576602
PNN	0.068138145765429
RABGGTA	0.011563453211251998
GSS	0.45955625682251
PYGB	0.136208347405055
MYBL2	-0.17165386029166102
CSTF1	-0.206786414602903
TPD52L2	0.162537248689649
CTSZ	-0.287334937708131
SLCO4A1	0.376974854383697
C20orf27	-0.33601727528820396
CSNK2A1	0.01871108428644
CHMP4B	0.069553371902033
AHCY	-0.024634568438205003
PIGU	-0.257561910891507
ACOT8	0.7223359070264459
APMAP	-0.034312643914024
TXNL1	0.035938839073992
IDH3G	-0.17566439657010702
PSMD10	-0.09374755532436099
PGRMC1	-0.12425142699977301
NXT2	0.153877089057216
WDR13	0.200797463639724
STAG2	0.35304601164980504
ABCD1	-0.148009856880212
BCORL1	-0.019768176798221
PQBP1	-0.117537765697717
RP2	-0.42614489263959704
USP11	0.095652924783041
HTATSF1	0.3933778900050399
TIMP1	-0.106396322368003
MAGED2	0.22290400531830298
GLA	-0.10626369661390898
NDFIP2	-0.36527697941085496
ZNF263	0.178375202237913
MMP2	-0.40358886113112896
ORC6	-0.30859080150978996
C16orf70	-0.33021390565121
CORO1A	0.006796463859359001
NUTF2	0.20599374123480604
DHODH	-0.161660852620778
POLR2C	-0.260829822245949
USB1	0.12248527278647502
PSMD7	0.24093472496634502
SETD6	0.368326698804956
SLC38A7	1.07715562600515
SLC7A6	0.139107576653664
PLA2G15	-0.412615260301812
MPG	0.455544677787549
HSDL1	-0.47830292454102896
TSC2	-0.11105458140989401
STUB1	0.068562269209354
CAPN15	-0.11054958179960901
MAZ	0.12895078423318498
BCKDK	0.08710147495500199
KNOP1	0.10871271174625
MGA	0.0038894447809450002
CSK	0.047518637362037
EHD4	-0.067637469299582
GABPB1	0.041850278589771
VPS18	-0.063752017347072
OIP5	-0.036959778046375
AGO2	0.22733088473185503
PAG1	0.241325896869248
BRF2	0.076074953074542
ZFAND1	0.144395103175008
RIPK2	-0.400267931410005
DECR1	-0.004279891427499
EIF3E	-0.239455796243651
EMC2	0.09135615452496601
DCTN6	-0.27774255636855394
GSR	-0.253089875990633
TNFRSF10A	0.527620838130556
PPP2CB	0.047846444158825996
KCTD9	-0.23029576572952104
EXOSC5	0.340557032471018
PAF1	0.343035131599032
HNRNPL	-0.021336899096732
CLASRP	0.769794604081182
PPP1R37	0.293441645698988
RNASEH2A	0.057549653938227995
SF3A2	-0.05416672281972401
RETN	-0.007445858420537
TBC1D17	-0.068320626326739
CCDC130	0.240708267937942
AES	0.169314454300452
SGTA	-0.238975161273936
FBL	-0.203258544139832
CLC	-0.084354199581545
TBCB	0.034826910657767995
CACTIN	-0.437467806229425
CCDC9	0.013815034613988001
AC011462.1	0.13918749861285
PLIN3	-0.28360682948731897
NKG7	-0.013696531662538999
CDC37	0.161054409900519
RABAC1	0.424807417084649
RAB3D	-0.23407425633183
GCDH	-0.057851286538995995
DNASE2	1.09865243424941
RPL18A	-0.11565456690105401
ARRDC2	0.011462455934631998
PIK3R2	0.205020089020749
PSENEN	-0.050799316672848
TMEM147	0.20421771045738102
ERF	0.008989309246703001
GSK3A	0.110235311460011
ZNF574	0.16663984702950302
SIPA1L3	0.7247339857386509
ABCF2	0.107515274193985
HGF	-0.07178892039507201
GTPBP10	0.09124893609997099
NAMPT	0.118102530067684
TWISTNB	-0.252523083032484
SP4	0.546542189208322
MPP6	0.203701368424627
LFNG	0.9112788869473021
ABHD11	-0.11574412401375699
BUD31	0.245695142594512
SNX8	0.386944294265462
AIMP2	0.502694365364981
RBM28	-0.253645029203607
C1GALT1	-0.142373227717063
PLOD3	-0.012425525883588999
RPA3	-0.126155777424172
CEP41	0.066338612489142
MEST	0.389668706757818
PSMA2	0.28871448881756
MRPL32	0.13821394073236198
COA1	-0.10460632279876599
YKT6	0.291162658671917
CLIP2	-0.346393532481248
CHMP5	-0.069025609239113
SEC61B	0.036550162485147
PLGRKT	0.515688062423125
EDF1	0.235437792316798
SETX	0.39860148516064203
VIM	-0.39558544243173205
ATE1	-0.423310345431303
SFXN3	-0.013554073008011999
PPIF	-0.085440976319551
MPO	0.17351493678472799
DHX33	-0.372450543225864
UTP18	-0.149567270372627
EPX	-0.3770850814261761
NUFIP2	0.260973542249812
RPL19	-0.222034426308208
SUPT4H1	0.21373326171648802
SHPK	0.4742823497723
P2RX1	-0.046347106983882
RPS6KB1	0.425310587782159
CBX1	-0.131476277026584
GALK1	-0.002945419501773
SLC25A11	0.08782733592673
C1QBP	0.24384385194719102
CPD	0.065351903102381
CCDC47	-0.07819173554149499
DRG2	0.067793472417982
AKAP10	0.441162337217106
DDX5	-0.009368869126930999
CCL2	-0.511440070785596
KAT2A	0.5583439753930539
MRPL27	0.037771465312014
LRRC59	0.22561915317222897
HDAC5	0.622771687483323
DUSP3	0.06235365237131801
TMEM97	0.039324281596668
CD38	0.463179475129283
LAP3	-0.004164792996002
JADE1	0.45520146058379607
NFKB1	0.10478986954936902
MANBA	0.218565026283371
GAR1	-0.07529934955221901
CD82	0.07309004569980901
SPI1	0.353508191913201
CTSC	0.081273158247434
ZPR1	0.054004656436946
HSPA8	0.24774222130645399
UNC93B1	0.18528017004689198
PUS3	0.402750449063103
CCND1	0.534419195591518
CCDC86	-0.215885733652318
PRPF19	0.183191023208013
TMEM109	0.37327182754883403
PANX1	0.254265616475732
PDHX	-0.22561167509708
DGAT2	-0.39151352935113604
C11orf58	0.0040642673949479995
YBX3	0.13948561457580402
RPLP0	-0.18361773172105603
SLC25A3	0.010547773446809999
POLR3B	-0.282291159975027
PRDM4	-0.192106491580321
SELPLG	-0.003031213843615
KCTD10	-0.683118103142296
MLEC	0.252991543027839
LTA4H	-0.174588523429069
ITFG2	-0.301026675281007
ARPC3	0.106398552889056
RAD51AP1	-0.24590222003689496
LTBR	0.164751374521202
OGFOD2	-0.495852686857783
ARHGDIB	0.10242056690343199
NUP107	0.206541471892586
CNOT2	0.22693446905845002
KRR1	-0.033663539474898
MRPL51	0.850032013262614
GAPDH	0.000466029232949
COPS7A	0.28127916602256103
CHPT1	0.23915514226140197
USP5	0.301254349704701
TPI1	0.233836777145757
C12orf57	-0.31016913564836
GOLT1B	0.19069771611625103
PRKAB1	-0.11643775427828802
CMAS	0.38090139080505997
RAB35	0.7600998774121409
