GO	[-1.00 -0.89]	[-0.89 -0.73]	[-0.73 -0.55]	[-0.55 -0.35]	[-0.35 -0.15]	[-0.15 0.06]	[0.06 0.30]	[0.30 0.52]	[0.52 0.71]	[0.71 0.88]	[0.88 1.00]
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	-2.853	-2.342	-0.975	-0.975	-2.342	-0.975	0.388	0.283	1.017	0.513	13.697
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	2.809	0.328	-1.424	-1.424	-0.668	-0.438	-0.986	-0.276	-2.035	-0.438	6.129
GOBP_NCRNA_TRANSCRIPTION GOBP_NCRNA_TRANSCRIPTION	0.456	0.840	-2.883	-2.165	-0.624	0.456	-0.624	1.352	-0.624	-0.290	3.160
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS GOBP_THIOESTER_BIOSYNTHETIC_PROCESS	-0.256	-0.755	-1.990	-1.225	-0.451	-0.755	0.571	0.571	-0.256	0.351	4.872
GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.664	-1.223	-0.380	-4.140	-0.380	-0.380	-0.800	1.822	0.664	0.317	2.351
HP_SHUFFLING_GAIT HP_SHUFFLING_GAIT	0.614	0.359	-1.533	0.614	-0.250	0.614	-0.250	-0.477	-1.533	-1.533	2.882
PID_IL8_CXCR2_PATHWAY PID_IL8_CXCR2_PATHWAY	1.578	-0.385	0.754	0.453	0.231	0.231	-1.367	-1.367	-1.367	-0.733	2.096
MIR24_1_5P_MIR24_2_5P MIR24_1_5P_MIR24_2_5P	0.883	0.370	1.225	-1.948	-0.242	-1.948	-1.191	-0.242	-0.431	0.370	2.071
GOBP_REGULATION_OF_CYTOPLASMIC_TRANSLATION GOBP_REGULATION_OF_CYTOPLASMIC_TRANSLATION	0.930	-0.870	-0.870	0.236	-0.378	-0.870	-0.870	0.527	-0.378	0.236	3.503
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	1.510	-0.432	-0.715	-1.660	-1.367	0.480	-0.560	-0.715	0.277	-0.326	4.594
REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	6.255
JAZAERI_BREAST_CANCER_BRCA1_VS_BRCA2_UP JAZAERI_BREAST_CANCER_BRCA1_VS_BRCA2_UP	-0.228	-1.158	-1.158	-0.411	-0.228	-0.702	0.389	0.625	-0.702	-0.411	5.126
GSE36009_WT_VS_NLRP10_KO_DC_DN GSE36009_WT_VS_NLRP10_KO_DC_DN	1.461	0.880	-2.046	-0.743	-0.584	-0.930	0.581	0.262	-0.930	-0.743	3.419
MIR6734_5P MIR6734_5P	-2.821	-0.240	-0.606	2.120	-0.606	-0.606	0.372	0.372	-0.390	-0.390	2.124
HP_ABNORMAL_LEFT_ATRIUM_MORPHOLOGY HP_ABNORMAL_LEFT_ATRIUM_MORPHOLOGY	0.524	-0.497	-0.497	-0.497	-0.497	1.052	-0.497	-0.497	0.524	-0.497	2.550
REACTOME_HDMS_DEMETHYLATE_HISTONES REACTOME_HDMS_DEMETHYLATE_HISTONES	0.930	-0.378	0.527	-0.870	0.930	-0.870	-0.870	-0.870	0.236	-0.378	2.040
